Sl.No,Fiber Volume Fraction,Fiber_Thickness,ModelingPly.1.ply_angle, ModelingPly.2.ply_angle, ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle, ModelingPly.6.ply_angle, E1, E2, E3, G12, G23, G31, nu12, nu13,nu23,Inverse Reserve Factor Maximum,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Shear Stress Maximum-XY [MPa],Normal Stress Maximum-X [MPa], Normal Stress  Maximum-Y[MPa],Equivalent Elastic Strain Maximum [mm mm^-1],Shear Elastic Strain Maximum-XY [mm mm^-1],Normal Elastic Strain Maximum-X [mm mm^-1],Normal Elastic Strain Maximum-Y[mm mm^-1]
759,0.4874,0.2242,0,45,-45,-45,45,0,65667.53,4416.18,4195.37,2368.55,1688.05,1688.05,0.2463,0.2363,0.3726,3.0,0.180503,21.997,3.299,15.398,6.599,0.00180503,0.00139304,0.00023448,0.00149428
760,0.5786,0.2348,90,45,0,0,45,90,78045.34,5285.01,5020.76,2869.59,1985.08,1985.08,0.2458,0.2358,0.363,3.0,0.319288,46.728,7.009,32.71,14.018,0.00319288,0.00244259,0.00041911,0.00265249
761,0.4753,0.2273,0,60,-60,-60,60,0,63741.43,4653.7,4421.01,2330.17,1635.59,1635.59,0.3095,0.2995,0.3777,3.0,0.229442,28.797,4.32,20.158,8.639,0.00229442,0.00185374,0.00031624,0.00185638
762,0.5417,0.2192,45,-45,45,-45,45,-45,74222.64,4843.81,4601.62,2682.2,1976.47,1976.47,0.2679,0.2579,0.3774,3.0,0.070057,9.456,1.418,6.619,2.837,0.00070057,0.00052884,8.918e-05,0.00058568
763,0.5358,0.2132,0,60,-60,-60,60,0,72488.15,5092.01,4837.41,2729.79,1885.73,1885.73,0.3121,0.3021,0.3514,3.0,0.227662,31.96,4.794,22.372,9.588,0.00227662,0.00175621,0.00030863,0.00188298
764,0.5477,0.1959,0,45,-45,-45,45,0,73433.5,4979.5,4730.53,2739.53,1955.46,1955.46,0.2651,0.2551,0.3429,3.0,0.437564,60.565,9.085,42.396,18.17,0.00437564,0.0033162,0.00057734,0.00364888
765,0.518,0.2372,45,-45,45,-45,45,-45,69513.96,4588.4,4358.98,2682.46,1882.17,1882.17,0.2791,0.2691,0.3307,3.0,0.170667,22.145,3.322,15.501,6.643,0.00170667,0.0012383,0.00022299,0.00144786
766,0.5917,0.197,0,45,-45,-45,45,0,80283.07,5258.98,4996.03,2973.56,2081.11,2081.11,0.3059,0.2959,0.3147,3.0,0.16019,23.612,3.542,16.529,7.084,0.0016019,0.00119111,0.00020588,0.00134696
767,0.4683,0.2003,0,30,-30,-30,30,0,61933.23,4367.0,4148.65,2283.33,1604.08,1604.08,0.3058,0.2958,0.3439,3.0,0.431621,51.571,7.736,36.099,15.471,0.00431621,0.00338786,0.00058288,0.00354276
768,0.4792,0.1895,45,45,-45,-45,45,45,65705.2,4423.45,4202.28,2428.15,1680.8,1680.8,0.3156,0.3056,0.305,3.0,0.503659,61.897,9.285,43.328,18.569,0.00503659,0.0038237,0.00065943,0.00419786
769,0.4738,0.2748,90,45,0,0,45,90,63604.52,4095.08,3890.32,2379.72,1637.57,1637.57,0.2573,0.2473,0.3591,3.0,0.330029,38.173,5.726,26.721,11.452,0.00330029,0.00240617,0.00042012,0.00279653
770,0.6211,0.2878,0,45,-45,-45,45,0,82796.35,5687.39,5403.02,3101.5,2202.65,2202.65,0.2812,0.2712,0.3434,3.0,0.196303,30.948,4.642,21.664,9.284,0.00196303,0.00149676,0.00026165,0.00163245
771,0.4527,0.2951,45,45,-45,-45,45,45,62221.2,4023.85,3822.66,2327.43,1528.44,1528.44,0.2876,0.2776,0.3527,3.0,0.34621,39.297,5.894,27.508,11.789,0.0034621,0.00253262,0.00044209,0.00292978
772,0.6171,0.2047,0,60,-60,-60,60,0,85515.64,5510.57,5235.04,3151.49,2112.79,2112.79,0.2626,0.2526,0.3397,3.0,0.393399,60.968,9.145,42.678,18.29,0.00393399,0.00290187,0.00049906,0.00331915
773,0.5998,0.2024,0,60,-60,-60,60,0,82054.03,5322.55,5056.43,2940.61,2075.42,2075.42,0.2972,0.2872,0.3107,3.0,0.455635,67.543,10.131,47.28,20.263,0.00455635,0.00344534,0.00057621,0.00380698
774,0.4519,0.2321,0,45,-45,-45,45,0,60147.62,4276.11,4062.3,2197.19,1585.4,1585.4,0.3055,0.2955,0.3571,3.0,0.098643,11.476,1.721,8.034,3.443,0.00098643,0.00078349,0.00013356,0.00080516
775,0.4808,0.1858,90,45,0,0,45,90,65649.08,4606.7,4376.37,2432.37,1711.17,1711.17,0.2883,0.2783,0.3765,3.0,0.350838,44.356,6.653,31.049,13.307,0.00350838,0.00273536,0.00047296,0.00288858
776,0.5577,0.2677,0,0,90,90,0,0,77883.41,4981.28,4732.22,2744.07,2009.57,2009.57,0.2431,0.2331,0.3725,3.0,0.397692,55.14,8.271,38.598,16.542,0.00397692,0.00301412,0.00049559,0.00332082
777,0.6406,0.1804,0,90,90,90,90,0,85999.41,5995.99,5696.19,3166.41,2294.51,2294.51,0.2683,0.2583,0.3369,3.0,0.122597,20.178,3.027,14.124,6.053,0.00122597,0.00095585,0.00016424,0.00100955
778,0.5275,0.2426,0,45,-45,-45,45,0,71531.63,4713.41,4477.74,2622.6,1848.56,1848.56,0.3133,0.3033,0.344,3.0,0.266353,35.027,5.254,24.519,10.508,0.00266353,0.00200336,0.00034277,0.00222939
779,0.6038,0.2152,0,30,-30,-30,30,0,81454.36,5368.04,5099.64,3038.25,2022.43,2022.43,0.32,0.31,0.361,3.0,0.367246,55.265,8.29,38.685,16.579,0.00367246,0.00272845,0.00047493,0.00308855
780,0.4716,0.2879,45,-45,45,-45,45,-45,65624.5,4247.46,4035.09,2368.73,1626.53,1626.53,0.2801,0.2701,0.3586,3.0,0.416099,49.356,7.403,34.549,14.807,0.00416099,0.00312546,0.00052647,0.00348603
781,0.4876,0.2333,0,0,90,90,0,0,64478.48,4608.39,4377.97,2488.05,1772.71,1772.71,0.2883,0.2783,0.3436,3.0,0.294147,37.438,5.616,26.207,11.231,0.00294147,0.00225709,0.00040644,0.00243718
782,0.4619,0.2638,0,0,90,90,0,0,62430.28,4530.96,4304.41,2287.46,1715.2,1715.2,0.2416,0.2316,0.3047,3.0,0.388072,47.554,7.133,33.288,14.266,0.00388072,0.00311835,0.0005332,0.0031486
783,0.5204,0.2355,45,-45,45,-45,45,-45,68772.62,4783.3,4544.13,2590.0,1823.88,1823.88,0.2538,0.2438,0.3089,3.0,0.124084,16.415,2.462,11.49,4.924,0.00124084,0.00095066,0.00016708,0.00102951
784,0.4674,0.227,0,45,-45,-45,45,0,63847.35,4412.45,4191.83,2330.84,1529.81,1529.81,0.2503,0.2403,0.3214,3.0,0.074508,9.026,1.354,6.319,2.708,0.00074508,0.00058089,9.896e-05,0.0006137
785,0.6393,0.226,45,-45,45,-45,45,-45,87112.54,5669.22,5385.76,3172.16,2214.45,2214.45,0.249,0.239,0.3006,3.0,0.298436,47.289,7.093,33.102,14.187,0.00298436,0.0022361,0.00037999,0.00250238
786,0.6268,0.2606,45,45,-45,-45,45,45,86242.85,5738.76,5451.82,3175.42,2224.26,2224.26,0.2657,0.2557,0.3683,3.0,0.158631,25.355,3.803,17.748,7.606,0.00158631,0.00119769,0.00020579,0.00132544
787,0.6287,0.2897,0,90,90,90,90,0,83255.31,5619.6,5338.62,3139.21,2160.71,2160.71,0.2907,0.2807,0.3725,3.0,0.159683,25.054,3.758,17.538,7.516,0.00159683,0.00119715,0.00021065,0.0013375
788,0.6453,0.258,0,90,90,90,90,0,87363.96,5597.7,5317.81,3221.23,2196.89,2196.89,0.3122,0.3022,0.3022,3.0,0.419981,66.234,9.935,46.364,19.87,0.00419981,0.00308426,0.0005307,0.00354971
789,0.4536,0.224,0,0,90,90,0,0,61926.48,4218.78,4007.84,2222.28,1588.58,1588.58,0.2517,0.2417,0.3798,3.0,0.182806,21.162,3.174,14.813,6.348,0.00182806,0.00142837,0.00023921,0.00150482
790,0.5736,0.2327,90,45,0,0,45,90,77107.91,4878.73,4634.79,2833.03,1869.15,1869.15,0.311,0.301,0.3239,3.0,0.211659,29.169,4.375,20.418,8.751,0.00211659,0.00154442,0.0002648,0.00179366
791,0.5907,0.2285,0,90,90,90,90,0,78164.18,5282.45,5018.33,2908.57,2052.9,2052.9,0.3189,0.3089,0.3623,3.0,0.295088,43.342,6.501,30.34,13.003,0.00295088,0.00223523,0.00038815,0.00246148
792,0.463,0.2187,45,45,-45,-45,45,45,62758.01,3950.39,3752.87,2344.74,1604.09,1604.09,0.2723,0.2623,0.3647,3.0,0.516243,57.943,8.691,40.56,17.383,0.00516243,0.0037068,0.0006463,0.00440032
793,0.5088,0.2622,45,45,-45,-45,45,45,67505.32,4250.86,4038.32,2608.51,1786.22,1786.22,0.2734,0.2634,0.3044,3.0,0.403812,49.181,7.377,34.427,14.754,0.00403812,0.00282812,0.00050999,0.00347091
794,0.6395,0.2882,90,45,0,0,45,90,85001.53,5739.43,5452.46,3263.05,2248.94,2248.94,0.2862,0.2762,0.3093,3.0,0.061888,9.966,1.495,6.976,2.99,0.00061888,0.00045811,8.207e-05,0.0005209
795,0.4505,0.2396,0,60,-60,-60,60,0,58959.32,4005.64,3805.36,2272.89,1650.28,1650.28,0.2964,0.2864,0.3555,3.0,0.539692,60.613,9.092,42.429,18.184,0.00539692,0.0040002,0.00071964,0.00453961
796,0.5008,0.1877,0,60,-60,-60,60,0,68863.97,4387.12,4167.76,2511.09,1774.98,1774.98,0.2432,0.2332,0.3171,3.0,0.235213,29.033,4.355,20.323,8.71,0.00235213,0.00173428,0.00029512,0.00198533
797,0.6024,0.2752,0,45,-45,-45,45,0,80558.69,5326.56,5060.23,3085.23,2140.01,2140.01,0.3148,0.3048,0.3116,3.0,0.361873,54.372,8.156,38.061,16.312,0.00361873,0.00264352,0.00047246,0.00306234
798,0.5402,0.2726,0,45,-45,-45,45,0,72773.4,4879.26,4635.3,2519.89,1871.0,1871.0,0.3148,0.3048,0.3321,3.0,0.214417,28.539,4.281,19.977,8.562,0.00214417,0.00169884,0.00027452,0.00175473
799,0.5436,0.2434,0,60,-60,-60,60,0,73140.38,4703.15,4467.99,2607.12,1848.34,1848.34,0.2761,0.2661,0.3681,3.0,0.171333,22.467,3.37,15.727,6.74,0.00171333,0.00129264,0.00021502,0.00143311
800,0.4548,0.2801,45,45,-45,-45,45,45,62516.07,3767.02,3578.67,2240.52,1588.93,1588.93,0.2727,0.2627,0.318,3.0,0.325205,34.848,5.227,24.394,10.454,0.00325205,0.00233304,0.0003902,0.00277525
801,0.4995,0.2501,0,0,90,90,0,0,68591.8,4313.14,4097.48,2515.38,1756.04,1756.04,0.2842,0.2742,0.3514,3.0,0.205624,25.083,3.763,17.558,7.525,0.00205624,0.0014958,0.00025598,0.00174467
802,0.5355,0.2411,90,45,0,0,45,90,70486.94,4423.62,4202.44,2700.08,1895.76,1895.76,0.3023,0.2923,0.3341,3.0,0.137188,17.366,2.605,12.156,5.21,0.00137188,0.00096473,0.00017246,0.00117769
803,0.4972,0.2128,0,90,90,90,90,0,69178.31,4426.83,4205.49,2446.58,1665.13,1665.13,0.3091,0.2991,0.3045,3.0,0.074087,9.137,1.371,6.396,2.741,0.00074087,0.0005602,9.246e-05,0.00061921
804,0.5298,0.2828,0,60,-60,-60,60,0,69966.23,4739.22,4502.25,2590.74,1834.66,1834.66,0.2924,0.2824,0.3351,3.0,0.227439,29.907,4.486,20.935,8.972,0.00227439,0.00173158,0.00029922,0.00189317
805,0.5169,0.2089,0,60,-60,-60,60,0,70687.68,4722.56,4486.43,2600.93,1843.32,1843.32,0.2806,0.2706,0.3366,3.0,0.41943,55.091,8.264,38.563,16.527,0.0041943,0.00317717,0.00054555,0.00349962
806,0.6132,0.2893,0,30,-30,-30,30,0,84625.0,5447.55,5175.17,3089.72,2167.06,2167.06,0.3049,0.2949,0.3685,3.0,0.361585,55.272,8.291,38.69,16.582,0.00361585,0.00268335,0.0004572,0.00304387
807,0.5034,0.2883,45,45,-45,-45,45,45,68284.33,4720.88,4484.84,2550.48,1632.08,1632.08,0.2852,0.2752,0.3281,3.0,0.430992,56.24,8.436,39.368,16.872,0.00430992,0.00330762,0.00057653,0.00357391
808,0.6384,0.2106,0,30,-30,-30,30,0,86063.15,5742.36,5455.24,3272.73,2233.46,2233.46,0.3182,0.3082,0.3553,3.0,0.151423,24.417,3.663,17.092,7.325,0.00151423,0.00111912,0.0001986,0.00127563
809,0.4604,0.1911,0,0,90,90,0,0,63018.68,3998.11,3798.2,2231.11,1710.37,1710.37,0.2561,0.2461,0.3565,3.0,0.102455,11.445,1.717,8.011,3.433,0.00102455,0.00076946,0.00012713,0.00085878
810,0.6027,0.2154,45,45,-45,-45,45,45,79798.44,5421.92,5150.82,2948.36,2089.55,2089.55,0.3077,0.2977,0.3432,3.0,0.251299,37.745,5.662,26.422,11.324,0.00251299,0.00192031,0.0003311,0.00208847
811,0.4978,0.2655,90,45,0,0,45,90,68100.08,4455.19,4232.43,2419.1,1834.72,1834.72,0.3101,0.3001,0.3304,3.0,0.289581,35.747,5.362,25.023,10.724,0.00289581,0.00221655,0.00036744,0.0024071
812,0.5042,0.2034,0,45,-45,-45,45,0,66216.72,4436.24,4214.43,2600.74,1806.4,1806.4,0.3025,0.2925,0.3272,3.0,0.427445,53.648,8.047,37.554,16.095,0.00427445,0.00309422,0.00056714,0.00362797
813,0.639,0.1837,90,45,0,0,45,90,85268.88,5751.82,5464.23,3213.59,2152.21,2152.21,0.2843,0.2743,0.3527,3.0,0.094603,15.193,2.279,10.635,4.558,0.00094603,0.00070917,0.00012473,0.00079244
814,0.6446,0.2347,0,60,-60,-60,60,0,86437.71,5945.07,5647.81,3220.2,2345.77,2345.77,0.2565,0.2465,0.3632,3.0,0.288107,47.384,7.108,33.169,14.215,0.00288107,0.00220721,0.00038373,0.00239111
815,0.4793,0.2765,0,45,-45,-45,45,0,63719.42,4382.21,4163.1,2470.13,1567.51,1567.51,0.267,0.257,0.3209,3.0,0.140268,17.199,2.58,12.04,5.16,0.00140268,0.00104444,0.00018895,0.00117744
816,0.5938,0.269,45,45,-45,-45,45,45,80132.9,5333.88,5067.19,3006.75,2050.66,2050.66,0.2486,0.2386,0.3221,3.0,0.179134,26.751,4.013,18.726,8.025,0.00179134,0.00133455,0.00023368,0.00150459
817,0.5514,0.2144,0,90,90,90,90,0,73698.36,4832.48,4590.85,2724.64,1983.77,1983.77,0.2609,0.2509,0.3634,3.0,0.144306,19.53,2.93,13.671,5.859,0.00144306,0.0010752,0.0001855,0.00121243
818,0.4894,0.2091,0,0,90,90,0,0,67546.13,4559.78,4331.79,2410.53,1714.14,1714.14,0.28,0.27,0.3597,3.0,0.442711,55.46,8.319,38.822,16.638,0.00442711,0.00345108,0.00057474,0.00364883
819,0.5428,0.1821,90,45,0,0,45,90,72380.85,4842.32,4600.2,2746.03,1893.9,1893.9,0.2467,0.2367,0.3434,3.0,0.129773,17.621,2.643,12.335,5.286,0.00129773,0.00096255,0.00017042,0.00109171
820,0.4747,0.2578,0,60,-60,-60,60,0,64397.81,4154.55,3946.83,2388.51,1638.09,1638.09,0.2664,0.2564,0.3567,3.0,0.438967,51.362,7.704,35.953,15.409,0.00438967,0.00322555,0.0005583,0.00370883
821,0.462,0.2232,45,-45,45,-45,45,-45,61772.33,4255.67,4042.88,2279.15,1605.66,1605.66,0.2483,0.2383,0.312,3.0,0.200409,23.515,3.527,16.46,7.054,0.00200409,0.00154761,0.00026647,0.00165766
822,0.5267,0.2587,0,45,-45,-45,45,0,69708.18,4655.67,4422.89,2579.16,1815.23,1815.23,0.2899,0.2799,0.3756,3.0,0.317413,41.17,6.175,28.819,12.351,0.00317413,0.00239436,0.00041342,0.00265287
823,0.5825,0.2946,0,30,-30,-30,30,0,79987.79,5226.94,4965.59,2828.92,1973.55,1973.55,0.2513,0.2413,0.3329,3.0,0.125368,18.14,2.721,12.698,5.442,0.00125368,0.00096184,0.00015875,0.00104113
824,0.6247,0.2881,0,60,-60,-60,60,0,84070.08,5845.52,5553.24,3162.32,2132.15,2132.15,0.2921,0.2821,0.3315,3.0,0.417802,67.527,10.129,47.269,20.258,0.00417802,0.00320303,0.00056225,0.00346556
825,0.6127,0.2491,0,90,90,90,90,0,84013.16,5449.13,5176.67,3062.13,2172.66,2172.66,0.2637,0.2537,0.3446,3.0,0.386088,58.876,8.831,41.213,17.663,0.00386088,0.00288408,0.00049056,0.00324141
826,0.464,0.2005,0,45,-45,-45,45,0,62367.88,4304.14,4088.94,2357.34,1559.08,1559.08,0.2898,0.2798,0.3134,3.0,0.353486,42.224,6.334,29.557,12.667,0.00353486,0.00268675,0.00047391,0.00294301
827,0.5225,0.2625,0,60,-60,-60,60,0,70527.2,4749.59,4512.11,2595.72,1855.16,1855.16,0.3123,0.3023,0.3524,3.0,0.280226,36.93,5.54,25.851,11.079,0.00280226,0.00213409,0.00036654,0.00233262
828,0.5728,0.2864,0,60,-60,-60,60,0,76632.53,5226.97,4965.62,2948.99,2002.86,2002.86,0.2484,0.2384,0.3753,3.0,0.07011,10.258,1.539,7.181,3.077,0.0007011,0.00052177,9.37e-05,0.00058876
829,0.4784,0.2111,45,45,-45,-45,45,45,64291.66,4464.26,4241.05,2386.39,1618.9,1618.9,0.247,0.237,0.3034,3.0,0.377738,46.462,6.969,32.523,13.938,0.00377738,0.00292041,0.00050587,0.00312223
830,0.5774,0.198,0,0,90,90,0,0,77721.05,5168.87,4910.43,2872.89,1965.1,1965.1,0.3167,0.3067,0.3722,3.0,0.26736,38.539,5.781,26.977,11.562,0.0026736,0.00201219,0.0003471,0.00223678
831,0.5388,0.2278,0,30,-30,-30,30,0,70878.67,4825.14,4583.88,2669.6,1944.39,1944.39,0.3158,0.3058,0.3533,3.0,0.446524,59.982,8.997,41.987,17.995,0.00446524,0.00337029,0.00059238,0.00372935
832,0.6215,0.2473,45,45,-45,-45,45,45,85627.6,5462.69,5189.56,3141.02,2223.6,2223.6,0.2508,0.2408,0.3383,3.0,0.423652,65.192,9.779,45.634,19.558,0.00423652,0.00311325,0.00053294,0.00358021
833,0.4964,0.2942,0,90,90,90,90,0,67157.87,4524.61,4298.38,2510.54,1690.89,1690.89,0.2836,0.2736,0.3652,3.0,0.310539,39.156,5.873,27.409,11.747,0.00310539,0.0023395,0.00040813,0.0025962
834,0.618,0.2505,45,45,-45,-45,45,45,82188.76,5632.22,5350.61,3173.65,2163.9,2163.9,0.2593,0.2493,0.3611,3.0,0.421592,66.439,9.966,46.507,19.932,0.00421592,0.00314017,0.00056586,0.00353885
835,0.592,0.2197,0,0,90,90,0,0,79688.03,5500.6,5225.57,2933.95,2175.38,2175.38,0.279,0.269,0.331,3.0,0.296602,44.926,6.739,31.448,13.478,0.00296602,0.00229687,0.00039464,0.00245024
836,0.5959,0.2955,0,45,-45,-45,45,0,78872.88,5551.62,5274.03,2995.97,2074.35,2074.35,0.2401,0.2301,0.3693,3.0,0.279987,42.937,6.44,30.056,12.881,0.00279987,0.00214972,0.00038106,0.00232022
837,0.5359,0.2391,0,45,-45,-45,45,0,73037.01,4882.32,4638.2,2589.6,1905.14,1905.14,0.3145,0.3045,0.3167,3.0,0.086182,11.573,1.736,8.101,3.472,0.00086182,0.00067038,0.00011092,0.00071114
838,0.593,0.2974,90,45,0,0,45,90,79170.57,5363.3,5095.13,2966.04,2063.96,2063.96,0.2962,0.2862,0.3749,3.0,0.269995,40.312,6.047,28.219,12.094,0.00269995,0.0020387,0.00035643,0.0022549
839,0.5677,0.2493,45,45,-45,-45,45,45,76585.34,5084.75,4830.51,2791.46,2030.75,2030.75,0.3005,0.2905,0.3751,3.0,0.177496,25.081,3.762,17.557,7.524,0.00177496,0.00134773,0.00022924,0.00147978
840,0.4813,0.1953,0,0,90,90,0,0,64969.64,4438.71,4216.77,2381.92,1710.54,1710.54,0.2582,0.2482,0.3359,3.0,0.248163,30.393,4.559,21.275,9.118,0.00248163,0.00191398,0.00032746,0.00205417
841,0.6469,0.2386,90,45,0,0,45,90,85951.85,5601.02,5320.97,3197.72,2195.06,2195.06,0.2462,0.2362,0.3462,3.0,0.047593,7.492,1.124,5.244,2.248,0.00047593,0.00035144,6.102e-05,0.00040129
842,0.4752,0.2782,0,45,-45,-45,45,0,63433.17,4524.21,4298.0,2331.79,1597.04,1597.04,0.2452,0.2352,0.3212,3.0,0.493171,60.761,9.114,42.533,18.228,0.00493171,0.00390866,0.00067051,0.00402906
843,0.648,0.1854,0,30,-30,-30,30,0,86860.44,5720.96,5434.92,3284.71,2296.9,2296.9,0.2544,0.2444,0.3599,3.0,0.376547,60.627,9.094,42.439,18.188,0.00376547,0.00276862,0.00048859,0.00317922
844,0.5951,0.2639,0,90,90,90,90,0,80149.85,5102.58,4847.45,2909.83,2059.11,2059.11,0.2637,0.2537,0.3208,3.0,0.058437,8.381,1.257,5.867,2.514,0.00058437,0.00043203,7.32e-05,0.00049275
845,0.6393,0.2673,0,0,90,90,0,0,85311.01,5502.56,5227.43,3175.42,2157.7,2157.7,0.2701,0.2601,0.3463,3.0,0.095513,14.817,2.223,10.372,4.445,0.00095513,0.00069991,0.00012158,0.00080781
846,0.5921,0.2034,45,45,-45,-45,45,45,77968.34,5463.62,5190.44,2916.78,2126.86,2126.86,0.2752,0.2652,0.352,3.0,0.4278,64.362,9.654,45.054,19.309,0.004278,0.00330994,0.00057785,0.00353405
847,0.6306,0.276,90,45,0,0,45,90,85760.7,5786.94,5497.59,3164.86,2199.85,2199.85,0.2659,0.2559,0.3226,3.0,0.361256,58.017,8.702,40.612,17.405,0.00361256,0.00274972,0.00047355,0.00300763
848,0.5019,0.214,45,-45,45,-45,45,-45,66037.48,4763.33,4525.16,2507.96,1772.38,1772.38,0.3061,0.2961,0.3074,3.0,0.201431,26.296,3.944,18.407,7.889,0.00201431,0.00157278,0.00027874,0.00165618
849,0.5526,0.2425,0,60,-60,-60,60,0,71965.17,4741.83,4504.74,2885.94,1879.35,1879.35,0.2593,0.2493,0.3276,3.0,0.303064,41.06,6.159,28.742,12.318,0.00303064,0.00213411,0.00039938,0.0025977
850,0.5283,0.2464,45,45,-45,-45,45,45,73231.55,4766.09,4527.78,2669.17,1835.68,1835.68,0.3181,0.3081,0.3162,3.0,0.152836,20.365,3.055,14.255,6.109,0.00152836,0.00114444,0.00019466,0.00128184
851,0.5286,0.2958,0,45,-45,-45,45,0,71944.13,4596.86,4367.02,2655.69,1850.37,1850.37,0.2857,0.2757,0.3432,3.0,0.366237,47.484,7.123,33.238,14.245,0.00366237,0.00268199,0.000462,0.00309887
852,0.5284,0.2106,0,60,-60,-60,60,0,71223.67,4700.29,4465.28,2650.3,1817.14,1817.14,0.2699,0.2599,0.3331,3.0,0.390126,51.35,7.703,35.945,15.405,0.00390126,0.00290629,0.00050468,0.00327748
853,0.5748,0.2762,45,45,-45,-45,45,45,76012.79,5237.02,4975.17,2888.86,2028.45,2028.45,0.29,0.28,0.317,3.0,0.323938,47.179,7.077,33.025,14.154,0.00323938,0.00244971,0.00043447,0.00270264
854,0.5396,0.2043,90,45,0,0,45,90,70607.66,4871.17,4627.61,2650.31,1879.24,1879.24,0.2696,0.2596,0.3318,3.0,0.058757,7.928,1.189,5.55,2.378,0.00058757,0.0004487,7.86e-05,0.00048825
855,0.517,0.2565,0,0,90,90,0,0,71181.94,4741.27,4504.21,2654.0,1887.52,1887.52,0.245,0.235,0.3682,3.0,0.477098,63.207,9.481,44.245,18.962,0.00477098,0.00357237,0.00062158,0.00399938
856,0.5648,0.2297,0,30,-30,-30,30,0,75131.13,5175.34,4916.57,2880.68,2022.55,2022.55,0.2614,0.2514,0.311,3.0,0.385421,55.615,8.342,38.931,16.685,0.00385421,0.00289593,0.00051817,0.00322385
857,0.5896,0.1995,0,30,-30,-30,30,0,80609.95,5062.49,4809.37,2940.22,1994.48,1994.48,0.3115,0.3015,0.3088,3.0,0.451692,64.604,9.691,45.223,19.381,0.00451692,0.00329586,0.00056101,0.00382838
858,0.6351,0.2424,0,0,90,90,0,0,83254.32,5637.39,5355.52,3197.26,2077.92,2077.92,0.2692,0.2592,0.3755,3.0,0.306519,48.446,7.267,33.912,14.534,0.00306519,0.00227284,0.00040733,0.00257809
859,0.4835,0.1986,0,30,-30,-30,30,0,65945.08,4304.56,4089.33,2424.68,1660.79,1660.79,0.3067,0.2967,0.355,3.0,0.088734,10.695,1.604,7.487,3.209,0.00088734,0.00066165,0.00011353,0.00074539
860,0.4901,0.272,0,30,-30,-30,30,0,66395.55,4267.82,4054.43,2527.11,1742.54,1742.54,0.3062,0.2962,0.3752,3.0,0.173342,20.999,3.15,14.7,6.3,0.00173342,0.00124644,0.00022139,0.00147612
861,0.5832,0.2957,45,45,-45,-45,45,45,80687.03,5354.93,5087.18,2833.0,2051.01,2051.01,0.318,0.308,0.3581,3.0,0.431359,63.493,9.524,44.445,19.048,0.00431359,0.0033618,0.00055083,0.00355708
862,0.5034,0.2246,0,45,-45,-45,45,0,70932.71,4420.5,4199.48,2457.52,1823.04,1823.04,0.2875,0.2775,0.3315,3.0,0.253332,31.264,4.69,21.885,9.379,0.00253332,0.00190826,0.00030853,0.00212175
863,0.5508,0.1927,0,45,-45,-45,45,0,73879.98,5139.78,4882.79,2995.73,1962.49,1962.49,0.2407,0.2307,0.3551,3.0,0.115041,16.692,2.504,11.684,5.007,0.00115041,0.00083577,0.00015815,0.00097426
864,0.533,0.2608,0,30,-30,-30,30,0,71937.35,5063.81,4810.62,2739.89,1857.6,1857.6,0.2575,0.2475,0.3371,3.0,0.164967,23.093,3.464,16.165,6.928,0.00164967,0.00126427,0.00022471,0.00136812
865,0.6005,0.1943,0,30,-30,-30,30,0,78152.32,5280.54,5016.52,2995.72,2138.37,2138.37,0.2425,0.2325,0.3247,3.0,0.33192,49.145,7.372,34.402,14.744,0.0033192,0.00246078,0.00044019,0.00279206
866,0.4909,0.2457,0,0,90,90,0,0,64943.67,4215.65,4004.87,2500.04,1730.93,1730.93,0.2835,0.2735,0.3051,3.0,0.501247,59.995,8.999,41.996,17.998,0.00501247,0.00359963,0.00064666,0.00426943
867,0.6377,0.284,90,45,0,0,45,90,87676.97,5868.5,5575.08,3147.34,2191.2,2191.2,0.2912,0.2812,0.3064,3.0,0.124974,20.24,3.036,14.168,6.072,0.00124974,0.00096461,0.00016159,0.00103465
868,0.5669,0.2055,0,0,90,90,0,0,75274.39,5203.68,4943.49,2861.85,2059.71,2059.71,0.2531,0.2431,0.3453,3.0,0.33204,48.007,7.201,33.605,14.402,0.0033204,0.00251623,0.00044643,0.00276768
869,0.5844,0.2226,0,45,-45,-45,45,0,78842.87,5222.75,4961.61,2948.47,2077.01,2077.01,0.3123,0.3023,0.3706,3.0,0.391804,57.319,8.598,40.123,17.196,0.00391804,0.00291605,0.0005089,0.00329248
870,0.6115,0.204,0,60,-60,-60,60,0,81332.63,5474.61,5200.88,2952.99,2142.08,2142.08,0.2537,0.2437,0.3721,3.0,0.258757,39.156,5.873,27.409,11.747,0.00258757,0.00198897,0.000337,0.00214569
871,0.5469,0.2247,45,45,-45,-45,45,45,75127.38,4917.58,4671.7,2666.57,1846.13,1846.13,0.2738,0.2638,0.3439,3.0,0.29171,39.731,5.96,27.812,11.919,0.0029171,0.00223495,0.0003702,0.00242382
872,0.4912,0.2286,45,45,-45,-45,45,45,66893.22,4235.06,4023.31,2415.03,1711.19,1711.19,0.2738,0.2638,0.3397,3.0,0.365487,43.509,6.526,30.457,13.053,0.00365487,0.00270242,0.0004553,0.00308209
